Record_ID,Year,Region,TV_Users,Mobile_Users,Mobile_Usage_Share_%
99,2018,Europe,337759,347606,50.72
100,2017,North America,57577,779155,93.12
101,2011,Africa,497800,196955,28.35
102,2010,North America,382580,901641,70.21
103,2016,Africa,537254,571498,51.54
104,2016,Australia,925788,680650,42.37
105,2017,Asia,385982,927200,70.61
106,2014,Europe,538016,800099,59.79
107,2012,Australia,702664,137710,16.39
108,2017,Europe,452493,27660,5.76
109,2015,Asia,245189,868521,77.98
110,2012,South America,493546,878894,64.04
111,2010,North America,666307,985202,59.65
112,2012,North America,877812,408024,31.73
113,2014,Europe,338274,104148,23.54
114,2012,Europe,555702,181571,24.63
115,2010,Europe,103005,431231,80.72
116,2014,Asia,422655,43351,9.3
117,2019,South America,888174,452878,33.77
118,2016,North America,461436,393503,46.03
119,2016,Australia,712145,84674,10.63
120,2018,Africa,309117,771359,71.39
121,2019,Asia,883523,46241,4.97
122,2019,North America,214390,404414,65.35
123,2012,South America,733556,365127,33.23
124,2016,Asia,255389,374443,59.45
125,2010,Australia,770520,939617,54.94
126,2013,North America,671449,374983,35.83
127,2013,Asia,211926,572927,73.0
128,2014,North America,858667,860468,50.05
129,2016,North America,495357,357367,41.91
130,2016,South America,39400,77983,66.43
131,2013,Africa,156477,136164,46.53
132,2016,South America,389384,871376,69.12
133,2012,North America,62763,394571,86.28
134,2015,Asia,433425,508364,53.98
135,2011,Australia,214670,289818,57.45
136,2019,South America,682784,284557,29.42
137,2018,Africa,903242,589274,39.48
138,2014,North America,885955,713297,44.6
139,2015,Australia,119955,738445,86.03
140,2013,South America,161628,819503,83.53
141,2019,South America,365281,84229,18.74
142,2016,South America,946834,971335,50.64
143,2018,South America,746626,918548,55.16
144,2016,Australia,668596,878738,56.79
145,2010,Asia,734576,706731,49.03
146,2010,Africa,826744,662633,44.49
147,2018,Africa,910119,863974,48.7
148,2018,North America,424407,801645,65.38
149,2013,Europe,119602,598103,83.34
150,2018,Asia,224529,716659,76.14
151,2012,North America,833072,701996,45.73
152,2016,North America,372315,598236,61.64
153,2015,South America,334437,85066,20.28
154,2017,Europe,648412,319272,32.99
155,2018,Europe,256921,999677,79.55
156,2014,Asia,964192,583792,37.71
157,2010,Europe,736589,80500,9.85
158,2012,North America,620090,62340,9.14
159,2019,Europe,250324,139222,35.74
160,2017,Europe,364168,44070,10.8
161,2015,Africa,165194,607573,78.62
162,2017,North America,706584,993886,58.45
163,2018,Australia,235612,657693,73.62
164,2013,Europe,409547,418092,50.52
165,2010,Europe,752462,744863,49.75
166,2010,South America,383555,717036,65.15
167,2019,Europe,52262,28262,35.1
168,2013,Europe,388358,112409,22.45
169,2016,Africa,116435,226622,66.06
170,2011,North America,620602,689414,52.63
171,2012,Asia,724952,498707,40.76
172,2010,North America,699286,950555,57.61
173,2014,South America,882719,533049,37.65
174,2010,North America,653606,431601,39.77
175,2017,Europe,402278,45587,10.18
176,2010,South America,921390,138595,13.08
177,2010,North America,551816,589419,51.65
178,2011,South America,10068,627307,98.42
179,2011,Asia,865685,430869,33.23
180,2015,North America,877186,509597,36.75
181,2016,Australia,709328,185862,20.76
182,2014,Europe,363082,576306,61.35
183,2010,South America,976127,761790,43.83
184,2010,Australia,500395,127177,20.26
185,2012,Australia,576417,202064,25.96
186,2011,Africa,264935,498594,65.3
187,2014,South America,386140,982344,71.78
188,2019,Australia,235760,357328,60.25
189,2015,Africa,71321,107292,60.07
190,2016,Australia,545814,491159,47.36
191,2013,Europe,757812,54561,6.72
192,2016,Asia,773871,651269,45.7
193,2017,Africa,494780,675430,57.72
194,2010,Asia,692069,180097,20.65
195,2015,South America,117535,43779,27.14
196,2017,Europe,25063,264745,91.35
197,2014,Africa,670083,419832,38.52
198,2013,South America,538501,630197,53.92
199,2011,Australia,819229,127715,13.49
200,2015,North America,242842,531537,68.64
201,2015,South America,94946,783657,89.19
202,2010,Asia,623206,110477,15.06
203,2018,Europe,710577,111688,13.58
204,2015,Europe,995787,792846,44.33
205,2012,South America,33655,793843,95.93
206,2013,Australia,499100,913448,64.67
207,2013,North America,743350,666157,47.26
208,2012,Asia,153659,705249,82.11
209,2019,South America,818987,467606,36.34
210,2012,South America,562359,416810,42.57
211,2012,Europe,816671,582042,41.61
212,2013,Asia,133441,783732,85.45
213,2016,North America,369282,63639,14.7
214,2013,Europe,321295,214298,40.01
215,2018,South America,536491,22669,4.05
216,2010,Europe,154707,925671,85.68
217,2017,Europe,193643,356653,64.81
218,2016,Africa,666504,162157,19.57
219,2011,Europe,435915,38787,8.17
220,2017,Australia,749979,231692,23.6
221,2010,Europe,363807,296195,44.88
222,2018,Australia,401988,720926,64.2
223,2018,Asia,284357,60615,17.57
224,2011,Europe,26944,742450,96.5
225,2016,North America,601011,717622,54.42
226,2019,Australia,209741,965143,82.15
227,2012,Australia,78947,744250,90.41
228,2016,South America,175529,932793,84.16
229,2019,Asia,505927,129123,20.33
230,2018,Europe,45191,427960,90.45
231,2013,North America,257129,400958,60.93
232,2010,South America,532389,27945,4.99
233,2011,Asia,261767,755139,74.26
234,2010,Australia,82264,386279,82.44
235,2014,North America,198996,262565,56.89
236,2014,Europe,436960,984468,69.26
237,2016,Africa,456640,769950,62.77
238,2018,Africa,491633,165299,25.16
239,2018,Asia,219409,758644,77.57
240,2012,North America,479300,354638,42.53
241,2012,South America,436102,937438,68.25
242,2012,North America,371990,448746,54.68
243,2013,Australia,915982,63168,6.45
244,2017,Africa,619251,86086,12.2
245,2015,Asia,797404,992599,55.45
246,2017,Europe,371363,656203,63.86
247,2010,North America,147693,865992,85.43
248,2017,Africa,232621,41772,15.22
249,2013,South America,59738,411938,87.33
250,2010,Asia,198766,191214,49.03
251,2017,Europe,851209,601944,41.42
252,2013,North America,286674,367769,56.2
253,2015,South America,148426,96884,39.49
254,2017,Europe,842961,127129,13.1
255,2013,Australia,899327,146949,14.04
256,2012,Africa,848146,512240,37.65
257,2018,Australia,229831,815336,78.01
258,2012,Africa,134750,358472,72.68
259,2018,South America,968736,494789,33.81
260,2011,Australia,455295,223943,32.97
261,2011,Africa,655171,614483,48.4
262,2011,Asia,153622,170756,52.64
263,2015,South America,267391,862932,76.34
264,2012,Africa,360340,569190,61.23
265,2018,North America,332529,850038,71.88
266,2013,Africa,861168,657862,43.31
267,2010,Australia,826700,241620,22.62
268,2013,Asia,515871,45571,8.12
269,2010,Europe,669650,865879,56.39
270,2014,Europe,458250,86752,15.92
271,2013,Africa,826570,470160,36.26
272,2017,Europe,999486,883589,46.92
273,2017,Africa,260927,751873,74.24
274,2016,Asia,396794,219803,35.65
275,2012,Europe,809864,709298,46.69
276,2010,Australia,601346,591491,49.59
277,2010,Australia,68175,592093,89.67
278,2012,North America,43329,247039,85.08
279,2015,Africa,996580,249185,20.0
280,2016,Europe,415544,82649,16.59
281,2015,Australia,437463,926726,67.93
282,2015,Asia,278821,50910,15.44
283,2015,Asia,989314,425977,30.1
284,2012,North America,60357,297136,83.12
285,2015,Asia,65812,220386,77.0
286,2017,Asia,575904,883953,60.55
287,2011,Europe,464500,65448,12.35
288,2014,Africa,452957,604191,57.15
289,2010,South America,456694,972951,68.06
290,2010,Asia,195128,282930,59.18
291,2014,Asia,494699,645604,56.62
292,2012,South America,317678,576994,64.49
293,2013,Asia,220128,906429,80.46
294,2012,Europe,598450,531866,47.05
295,2010,Europe,841143,499660,37.27
296,2010,South America,163877,873019,84.2
297,2014,Australia,892412,243354,21.43
298,2015,Asia,816575,287755,26.06
299,2012,Australia,118380,276634,70.03
300,2018,Asia,727833,530853,42.18
301,2014,Africa,157089,322148,67.22
302,2017,Asia,466418,463850,49.86
303,2010,Europe,494075,106849,17.78
304,2014,North America,51423,139213,73.03
305,2012,North America,51713,671737,92.85
306,2010,North America,491072,282047,36.48
307,2013,North America,608598,155639,20.37
308,2014,Australia,798637,229493,22.32
309,2016,Australia,325410,790765,70.85
310,2010,Asia,677702,788162,53.77
311,2012,Australia,997067,976060,49.47
312,2011,Asia,728550,823038,53.04
313,2018,Africa,616151,657404,51.62
314,2019,Asia,686560,486192,41.46
315,2015,North America,148260,667620,81.83
316,2019,South America,398377,171339,30.07
317,2012,South America,274952,723729,72.47
318,2017,Europe,285995,453276,61.31
319,2017,Europe,484106,26833,5.25
320,2011,Asia,927414,125256,11.9
321,2015,South America,206000,13498,6.15
322,2016,North America,533047,397884,42.74
323,2011,Australia,418274,206382,33.04
324,2019,North America,548908,974233,63.96
325,2011,North America,980259,20518,2.05
326,2019,Asia,597283,743397,55.45
327,2010,Asia,499982,32254,6.06
328,2017,Africa,570969,240684,29.65
329,2010,North America,860941,615726,41.7
330,2018,North America,486555,764381,61.1
331,2015,Asia,77703,428761,84.66
332,2016,Asia,733040,406561,35.68
333,2019,Africa,995207,221978,18.24
334,2016,Africa,773416,795254,50.7
335,2019,Europe,314280,459582,59.39
336,2012,South America,232452,263442,53.12
337,2011,North America,523795,712081,57.62
338,2018,North America,890131,856261,49.03
339,2017,Africa,360600,890199,71.17
340,2019,Africa,93086,520622,84.83
341,2016,Europe,701703,117399,14.33
342,2018,South America,389673,543930,58.26
343,2013,Europe,290398,355519,55.04
344,2013,South America,333417,623505,65.16
345,2010,Australia,462827,467749,50.26
346,2017,North America,127574,213643,62.61
347,2012,Europe,649135,925844,58.78
348,2016,Africa,115547,718742,86.15
349,2011,Europe,463218,960803,67.47
350,2011,Australia,547214,700395,56.14
351,2016,Europe,764719,387164,33.61
352,2015,North America,467480,129937,21.75
353,2012,Australia,518237,164655,24.11
354,2018,Africa,521500,818537,61.08
355,2019,Africa,361671,484882,57.28
356,2015,Asia,379531,548024,59.08
357,2019,Australia,299707,52281,14.85
358,2019,Asia,958192,89351,8.53
359,2015,Asia,175202,99932,36.32
360,2010,North America,797357,427528,34.9
361,2013,Europe,585883,349924,37.39
362,2019,Africa,140249,708028,83.47
363,2015,Africa,550609,589940,51.72
364,2015,Europe,938273,403174,30.06
365,2014,Africa,177820,283862,61.48
366,2010,Europe,705388,106219,13.09
367,2017,Australia,288295,918159,76.1
368,2014,North America,86133,251198,74.47
369,2014,North America,44187,971501,95.65
370,2016,North America,53835,434644,88.98
371,2013,Europe,272203,243367,47.2
372,2015,Europe,504044,199894,28.4
373,2013,South America,226789,167562,42.49
374,2012,Africa,37235,977713,96.33
375,2016,Africa,628496,771597,55.11
376,2017,South America,77114,319495,80.56
377,2013,South America,710726,51001,6.7
378,2011,North America,663479,973360,59.47
379,2019,South America,909263,397194,30.4
380,2012,Europe,394033,812842,67.35
381,2010,Asia,791345,586973,42.59
382,2017,Europe,615871,962890,60.99
383,2012,South America,42160,478114,91.9
384,2019,Africa,895443,529794,37.17
385,2016,Europe,801709,917749,53.37
386,2019,Africa,929284,623835,40.17
387,2014,Europe,974083,690646,41.49
388,2019,Africa,913533,152463,14.3
389,2014,Australia,776809,299143,27.8
390,2016,Europe,857182,929522,52.02
391,2018,Africa,591190,547240,48.07
392,2014,Asia,221270,222848,50.18
393,2010,North America,651137,422498,39.35
394,2019,Europe,107052,884427,89.2
395,2019,Asia,662182,634639,48.94
396,2010,North America,173233,719714,80.6
397,2011,Europe,447715,27942,5.87
398,2015,Asia,697246,988442,58.64
399,2018,Asia,412016,11722,2.77
400,2017,Australia,59460,440036,88.1
401,2014,Asia,401568,994691,71.24
402,2010,Australia,80975,795057,90.76
403,2016,South America,997347,962050,49.1
404,2014,Africa,929868,992534,51.63
405,2015,North America,550856,401529,42.16
406,2016,Africa,179164,600507,77.02
407,2012,Africa,998523,904207,47.52
408,2019,Australia,596967,790534,56.98
409,2012,Africa,75781,421610,84.76
410,2014,Asia,280574,986063,77.85
411,2015,Australia,476935,974209,67.13
412,2018,Africa,572980,429685,42.85
413,2014,Australia,40086,870473,95.6
414,2010,South America,846103,115747,12.03
415,2013,Australia,239334,857770,78.18
416,2014,Europe,154973,15492,9.09
417,2019,Asia,276051,420043,60.34
418,2019,North America,239652,126359,34.52
419,2014,Europe,38604,168564,81.37
420,2016,Europe,47869,734162,93.88
421,2013,Europe,679897,212517,23.81
422,2010,Africa,677861,678229,50.01
423,2014,Australia,788845,705142,47.2
424,2016,Australia,653549,949367,59.23
425,2019,Africa,440587,203059,31.55
426,2019,Asia,386783,531323,57.87
427,2015,Africa,908122,971559,51.69
428,2014,Africa,440037,214427,32.76
429,2013,Africa,754092,301280,28.55
430,2011,Asia,397736,916261,69.73
431,2013,Asia,278217,811269,74.46
432,2019,South America,202077,516706,71.89
433,2019,South America,479313,85592,15.15
434,2012,South America,290245,403931,58.19
435,2019,South America,514268,158347,23.54
436,2010,Australia,434642,30191,6.5
437,2017,Europe,629165,856558,57.65
438,2014,Europe,279457,455008,61.95
439,2013,South America,696133,252070,26.58
440,2017,South America,955507,789593,45.25
441,2016,North America,69668,805326,92.04
442,2011,Europe,364100,880685,70.75
443,2010,North America,736610,618402,45.64
444,2013,North America,649375,33321,4.88
445,2017,Africa,391595,642793,62.14
446,2011,Australia,626963,559247,47.15
447,2012,Asia,101634,413731,80.28
448,2010,Europe,969798,477829,33.01
449,2010,South America,678942,599484,46.89
450,2012,South America,119119,686803,85.22
451,2014,Asia,679120,194622,22.27
452,2012,Europe,343935,178280,34.14
453,2010,South America,354302,142855,28.73
454,2010,South America,963487,612937,38.88
455,2017,Africa,443525,867353,66.17
456,2019,North America,39715,672342,94.42
457,2011,South America,963919,373031,27.9
458,2012,Australia,228400,249297,52.19
459,2011,Europe,511328,482159,48.53
460,2012,Australia,360404,287460,44.37
461,2016,Asia,979085,495959,33.62
462,2010,Africa,669012,385796,36.57
463,2019,Europe,822729,497154,37.67
464,2017,Africa,239030,471182,66.34
465,2019,North America,417244,654645,61.07
466,2019,South America,154875,115364,42.69
467,2019,Europe,278451,275080,49.7
468,2011,Asia,434541,873832,66.79
469,2012,North America,330760,756011,69.56
470,2018,North America,987987,84843,7.91
471,2016,Africa,959078,278853,22.53
472,2013,North America,654116,760750,53.77
473,2019,Europe,750158,292851,28.08
474,2014,Africa,470287,573672,54.95
475,2011,North America,156004,831619,84.2
476,2017,Asia,418965,863367,67.33
477,2013,Australia,280871,52536,15.76
478,2018,Europe,196478,388916,66.44
479,2014,Asia,551620,951692,63.31
480,2018,Asia,498286,286389,36.5
481,2013,Africa,414050,907714,68.67
482,2019,South America,161397,754267,82.37
483,2014,Africa,674573,523060,43.67
484,2018,Europe,524507,384884,42.32
485,2017,Europe,910173,42286,4.44
486,2012,Africa,526529,175375,24.99
487,2010,South America,142475,752033,84.07
488,2012,Africa,329115,182121,35.62
489,2013,Europe,783559,353045,31.06
490,2011,South America,457246,197272,30.14
491,2010,Europe,607330,351130,36.63
492,2016,South America,105195,79726,43.11
493,2017,South America,672951,388486,36.6
494,2016,Africa,399288,183933,31.54
495,2014,Africa,809428,708999,46.69
496,2010,Africa,848917,820369,49.14
497,2016,South America,57830,200586,77.62
498,2016,South America,44370,476204,91.48
499,2018,Europe,854004,395389,31.65
500,2012,Asia,482224,276104,36.41
501,2018,Africa,825530,311746,27.41
502,2010,Australia,726921,498937,40.7
503,2010,Europe,274340,675924,71.13
504,2013,Europe,676451,861965,56.03
505,2018,North America,221648,843942,79.2
506,2015,Africa,730614,801523,52.31
507,2012,Europe,321406,518422,61.73
508,2010,North America,671383,596623,47.05
509,2013,Australia,30543,433735,93.42
510,2018,Australia,463245,931214,66.78
511,2012,Africa,497129,73564,12.89
512,2018,South America,898603,139257,13.42
513,2016,North America,969841,125517,11.46
514,2013,South America,181481,69977,27.83
515,2012,Australia,604828,639219,51.38
516,2019,Australia,151035,992479,86.79
517,2014,Asia,679156,460830,40.42
518,2014,Asia,575260,804420,58.3
519,2012,Asia,82613,176826,68.16
520,2018,Asia,629672,890082,58.57
521,2013,Europe,612350,792804,56.42
522,2014,Asia,275405,295218,51.74
523,2013,Europe,289190,817630,73.87
524,2014,Europe,809829,527103,39.43
525,2016,Africa,463652,872477,65.3
526,2018,Europe,887237,690540,43.77
527,2016,Europe,297901,582356,66.16
528,2014,Asia,680659,645257,48.66
529,2019,Europe,265456,26560,9.1
530,2019,South America,667262,183746,21.59
531,2016,Asia,391003,337296,46.31
532,2019,North America,780376,657804,45.74
533,2014,Asia,576687,180010,23.79
534,2012,Europe,582618,307535,34.55
535,2016,South America,973812,300875,23.6
536,2011,Asia,786343,881130,52.84
537,2018,South America,144918,386024,72.71
538,2019,North America,677719,128440,15.93
539,2019,Australia,190448,952740,83.34
540,2010,North America,602344,440349,42.23
541,2015,Australia,50832,742275,93.59
542,2016,Africa,161170,538628,76.97
543,2017,Australia,651383,80291,10.97
544,2019,Africa,639275,58731,8.41
545,2018,Asia,715322,722788,50.26
546,2011,Africa,360816,849254,70.18
547,2019,South America,832317,838298,50.18
548,2011,Africa,31157,386439,92.54
549,2014,South America,451588,750801,62.44
550,2014,Australia,29674,749155,96.19
551,2015,Australia,566645,893223,61.19
552,2012,Australia,284722,112262,28.28
553,2017,Africa,924889,765800,45.3
554,2010,Australia,929755,774452,45.44
555,2015,Africa,220121,838245,79.2
556,2013,Africa,440645,993546,69.28
557,2010,Europe,450087,215207,32.35
558,2016,Europe,489742,411931,45.69
559,2018,Africa,690859,459118,39.92
560,2013,South America,933925,111354,10.65
561,2013,Asia,717564,811215,53.06
562,2015,North America,952095,237870,19.99
563,2012,Europe,726300,361156,33.21
564,2015,Africa,495731,864365,63.55
565,2016,North America,227443,312824,57.9
566,2019,Europe,637517,234083,26.86
567,2019,Asia,153274,395351,72.06
568,2012,South America,504166,69179,12.07
569,2016,Africa,396125,896045,69.34
570,2012,Asia,529071,312114,37.1
571,2011,Europe,232274,14718,5.96
572,2019,Africa,160362,430327,72.85
573,2013,North America,945634,966222,50.54
574,2017,Australia,833509,347913,29.45
575,2018,South America,265672,613995,69.8
576,2016,Europe,649424,151798,18.95
577,2010,South America,160468,364448,69.43
578,2012,Africa,464064,795931,63.17
579,2018,Australia,748848,551427,42.41
580,2010,Asia,70530,272129,79.42
581,2018,South America,205346,731041,78.07
582,2017,North America,652467,129804,16.59
583,2010,Europe,37122,579070,93.98
584,2015,North America,825813,554246,40.16
585,2014,South America,186507,232811,55.52
586,2015,Australia,377758,686667,64.51
587,2019,Asia,688627,637314,48.07
588,2014,Asia,647559,341278,34.51
589,2015,North America,523888,810015,60.73
590,2014,Africa,203050,254245,55.6
591,2014,Africa,672448,813445,54.74
592,2013,Australia,631642,844416,57.21
593,2012,Asia,399872,250734,38.54
594,2012,North America,547110,655534,54.51
595,2013,North America,715576,185946,20.63
596,2018,North America,964093,967701,50.09
597,2011,South America,730622,663398,47.59
598,2018,Australia,461127,543384,54.09
599,2010,Africa,142508,212163,59.82
600,2010,Africa,465070,501471,51.88
601,2014,South America,989392,607821,38.06
602,2015,Europe,383345,741705,65.93
603,2015,South America,823713,911227,52.52
604,2012,Australia,360161,297762,45.26
605,2016,North America,368149,232572,38.72
606,2018,South America,94403,544156,85.22
607,2019,North America,378167,294026,43.74
608,2017,Australia,195024,423855,68.49
609,2015,Australia,32766,702323,95.54
610,2017,Asia,760633,378904,33.25
611,2014,North America,424429,898557,67.92
612,2017,Africa,366035,397821,52.08
613,2019,South America,858671,987968,53.5
614,2013,Australia,163609,780724,82.67
615,2019,North America,406010,170542,29.58
616,2017,Europe,462420,906414,66.22
617,2019,Asia,775192,605002,43.83
618,2011,Europe,173396,204742,54.14
619,2014,Australia,66764,741794,91.74
620,2018,Europe,565146,343246,37.79
621,2013,Europe,52850,685713,92.84
622,2015,Asia,940522,965692,50.66
623,2010,Asia,661459,305519,31.6
624,2018,Asia,355161,343354,49.15
625,2010,Asia,847222,529521,38.46
626,2014,Europe,353264,687632,66.06
627,2013,Africa,806282,949220,54.07
628,2012,Africa,756597,361420,32.33
629,2015,Asia,378903,885138,70.02
630,2011,South America,512704,176234,25.58
631,2012,North America,711335,607894,46.08
632,2014,Australia,206582,432688,67.68
633,2018,South America,862128,199576,18.8
634,2011,Australia,691192,654125,48.62
635,2019,South America,237818,196513,45.24
636,2017,South America,622114,380487,37.95
637,2011,Africa,165958,71401,30.08
638,2014,North America,763290,330979,30.25
639,2016,South America,673778,329080,32.81
640,2017,Asia,657440,172590,20.79
641,2010,Australia,541369,226007,29.45
642,2015,Africa,374860,195534,34.28
643,2010,Australia,675474,923878,57.77
644,2011,Asia,783205,692673,46.93
645,2010,Asia,290866,400488,57.93
646,2014,South America,359652,812542,69.32
647,2019,Asia,926184,962320,50.96
648,2018,North America,27985,857981,96.84
649,2015,Asia,409104,927266,69.39
650,2010,South America,996758,824962,45.28
651,2010,Australia,500899,797325,61.42
652,2011,Asia,392378,925177,70.22
653,2018,Africa,249990,658255,72.48
654,2012,Africa,880277,514563,36.89
655,2010,Africa,919878,366404,28.49
656,2014,Australia,684659,823317,54.6
657,2016,Europe,983554,54560,5.26
658,2015,Africa,116747,23613,16.82
659,2010,Africa,32036,147159,82.12
660,2014,Europe,266306,438917,62.24
661,2014,Australia,750781,28665,3.68
662,2015,Africa,563634,640856,53.21
663,2012,South America,385651,765044,66.49
664,2014,Australia,911105,301766,24.88
665,2016,Africa,298835,367978,55.18
666,2014,Africa,639866,747763,53.89
667,2014,Europe,290130,51989,15.2
668,2014,South America,693206,579029,45.51
669,2019,Australia,846097,481916,36.29
670,2019,Asia,647696,554451,46.12
671,2012,North America,706761,81637,10.35
672,2010,South America,83728,69175,45.24
673,2014,Asia,508021,768618,60.21
674,2018,South America,584342,265972,31.28
675,2010,Asia,179559,507800,73.88
676,2012,Asia,412628,829978,66.79
677,2013,South America,615787,144547,19.01
678,2010,Europe,716833,604547,45.75
679,2010,South America,895591,287034,24.27
680,2017,South America,76553,164342,68.22
681,2011,Asia,539567,803145,59.82
682,2017,North America,279856,103389,26.98
683,2016,Asia,287961,477353,62.37
684,2019,Africa,719192,337461,31.94
685,2019,South America,365760,730477,66.63
686,2011,Australia,983728,355123,26.52
687,2015,South America,409840,393205,48.96
688,2015,Europe,432342,263154,37.84
689,2012,Australia,614955,927174,60.12
690,2011,Asia,702822,203666,22.47
691,2010,Europe,724036,748880,50.84
692,2015,South America,712175,793227,52.69
693,2014,Asia,768315,721865,48.44
694,2018,Asia,754271,183329,19.55
695,2010,Africa,822525,220582,21.15
696,2016,Africa,645318,649327,50.15
697,2014,North America,651673,842924,56.4
698,2014,Africa,173597,644006,78.77
699,2011,Australia,39030,418611,91.47
700,2012,Asia,54067,82005,60.27
701,2016,Africa,518961,35040,6.32
702,2015,North America,932711,119009,11.32
703,2011,South America,872865,602990,40.86
704,2015,Australia,823071,31637,3.7
705,2011,Africa,406008,77745,16.07
706,2011,Asia,534708,936251,63.65
707,2011,South America,497976,161322,24.47
708,2012,Asia,29198,886899,96.81
709,2011,South America,963112,121855,11.23
710,2013,Australia,711565,239939,25.22
711,2018,Asia,92951,588328,86.36
712,2015,Africa,771303,117518,13.22
713,2010,Africa,814307,434521,34.79
714,2017,North America,80511,730678,90.07
715,2016,South America,626285,729597,53.81
716,2019,North America,293475,617398,67.78
717,2012,Europe,289037,892827,75.54
718,2010,Africa,205985,193434,48.43
719,2014,South America,28243,413312,93.6
720,2013,Australia,549823,262138,32.28
721,2019,North America,466419,85764,15.53
722,2017,Australia,998101,674578,40.33
723,2010,Australia,863826,362511,29.56
724,2019,Australia,690849,356482,34.04
725,2010,North America,351358,450597,56.19
726,2013,Europe,916727,225555,19.75
727,2017,North America,896801,160407,15.17
728,2014,Asia,646983,712221,52.4
729,2011,Africa,225958,826339,78.53
730,2015,North America,285490,787431,73.39
731,2014,North America,713365,49387,6.47
732,2011,Europe,934277,490783,34.44
733,2012,Asia,236073,84655,26.39
734,2018,North America,656868,591695,47.39
735,2016,Africa,347468,468478,57.42
736,2016,Africa,697703,407771,36.89
737,2015,North America,253470,318239,55.66
738,2017,Australia,374890,991555,72.56
739,2013,Australia,84783,535330,86.33
740,2017,Asia,449179,113748,20.21
741,2013,Africa,969487,260763,21.2
742,2017,Australia,701332,800620,53.31
743,2018,Africa,289103,875028,75.17
744,2012,Asia,518102,985657,65.55
